RBD;NOM_RBD;PACE;COD_COM_RBD
139;JARDIN INFANTIL CONEJITO;0;1101
143;LICEO TRINITY COLLEGE;0;1101
144;COLEGIO IQUIQUE YOUNG SCHOOL;0;1101
145;HISPANO BRITANICO;0;1101
147;COLEGIO DON BOSCO;0;1101
148;IQUIQUE ENGLISH COLLEGE;0;1101
150;LICEO AMERICAN COLLEGE;0;1101
151;CINDERELLA S SCHOOL;0;1101
154;ESCUELA BASICA FRONTERIZA;0;1404
156;ESCUELA PISAGUA;0;1404
158;ESCUELA CHIAPA;0;1404
159;ESCUELA JAINA;0;1404
160;ESCUELA PACHICA;0;1404
161;LICEO DE HUARA;1;1404
162;ESCUELA SIBAYA;0;1404
165;ESCUELA CHUSMIZA;0;1404
167;ESCUELA CAMINA;0;1402
168;ESCUELA CUISAMA;0;1402
169;ESCUELA QUISTAGAMA;0;1402
170;ESCUELA NAMA;0;1402
171;ESCUELA APAMILCA;0;1402
172;ESCUELA CHAPIQUILTA;0;1402
173;ESCUELA MOQUELLA;0;1402
174;ESCUELA FRANCIA;0;1402
175;ESCUELA YALA YALA;0;1402
177;ESCUELA BASICA CARIQUIMA;0;1403
178;LICEO TECNICO PROFESIONAL COLCHANE;1;1403
179;ESCUELA BASICA MAUQUE;0;1403
184;ESCUELA BASICA ESCAPINA;0;1403
185;ESCUELA BASICA PISIGA-CHOQUE;0;1403
186;ESCUELA BASICA ENQUELGA;0;1403
187;ESCUELA VERTIENTE DEL SABER;0;1405
188;ESC. MATILLA DE NUEVA EXTREMADURA;0;1405
191;LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ;1;1401
192;ESCUELA BASICA MAMINA;0;1401
193;ESCUELA BASICA POZO ALMONTE;0;1401
195;ESCUELA BASICA LA TIRANA;0;1401
196;ESCUELA BASICA HUATACONDO;0;1401
198;ESCUELA BASICA LA HUAYCA;0;1401
199;LICEO DOMINGO LATRILLE LASTAUNOU;1;2301
200;LICEO POLITECNICO DIEGO PORTALES P.;1;2301
201;ESCUELA CARLOS CONDELL DE LA HAZA;0;2301
203;ESCUELA PABLO NERUDA;0;2301
204;ESCUELA L.GRAL.BERNARDO O´HIGGINS R.;0;2301
205;ESCUELA ARTURO PRAT CHACON;0;2301
206;ESCUELA ESTADOS UNIDOS DE NORTEAMERICA;0;2301
207;ESC. ESPECIAL PEDRO AGUIRRE CERDA;0;2301
208;COLEGIO BICENTENARIO SAGRADA FAMILIA;0;2301
209;ESC. PARV. EL CAMELLITO;0;2301
210;ESCUELA ARTURO PEREZ CANTO;0;2302
211;LICEO H.C. T.P. MARIA ELENA;1;2302
214;ESCUELA IGNACIO CARRERA PINTO;0;2302
217;LICEO BICENTENARIO LUIS CRUZ MARTINEZ;0;2201
218;LICEO FRANCISCO DE AGUIRRE;0;2201
219;LICEO BICENTENARIO POLITECNICO CESAREO AGUIRRE GOYENECHEA;0;2201
220;LICEO MINERO AMÉRICA;0;2201
222;CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A;0;2201
223;ESCUELA CLAUDIO ARRAU;0;2201
224;ESCUELA GRECIA;0;2201
225;ESCUELA REPUBLICA DE BOLIVIA;0;2201
226;ESCUELA BASICA EMILIO SOTOMAYOR;0;2201
227;ESCUELA BASICA PRESIDENTE BALMACEDA;0;2201
228;ESCUELA BASICA VADO DE TOPATER;0;2201
229;ESCUELA REPUBLICA DE CHILE;0;2201
230;ESCUELA BASICA ANDRES BELLO;0;2201
231;ESCUELA BASICA JOHN FITZGERALD KENNEDY;0;2201
232;ESCUELA BASICA PEDRO VERGARA KELLER;0;2201
234;ESCUELA REPUBLICA DE ECUADOR;0;2201
235;ESCUELA JARDIN INFANTIL EL PRINCIPITO;0;2201
236;ESCUELA DE PARVULOS LAS ABEJITAS;0;2201
237;ESCUELA DE PARVULOS LLAMITO BLANCO;0;2201
238;ESCUELA DIFERENCIAL LOA;0;2201
239;ESCUELA BASICA 21 DE MAYO;0;2201
240;ESCUELA BASICA REPUBLICA DE FRANCIA;0;2201
241;ESCUELA PARVULARIA LAS ARDILLAS;0;2201
243;ESCUELA BASICA PUKARA;0;2201
244;ESCUELA DE PARVULOS LOS ENANITOS;0;2201
245;ESCUELA DE PARVULOS PAPELUCHO;0;2201
246;ESCUELA BASICA SENORA DE LA CANDELARIA;0;2201
248;ESCUELA BASICA SAN JOSE;0;2201
249;ESCUELA BASICA SAN ANDRES;0;2201
251;ESCUELA BASICA SAN SANTIAGO;0;2201
252;ESCUELA BASICA SAN FRANCISCO;0;2201
253;COLEGIO ADVENTISTA DE CALAMA;0;2201
254;FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA;0;2201
255;COLEGIO EJERCITO DE SALVACION;0;2201
256;INSTITUTO OBISPO SILVA LEZAETA;0;2201
257;COLEGIO CHUQUICAMATA;0;2201
259;ESC. PARV. JESUS DE NAZARETH;0;2201
261;ESCUELA DE PARRVULOS CAPITAN RAFAEL TORREBLANCA;0;2201
262;ESCUELA DE PARVULOS MICKEY MOUSE;0;2201
265;ESCUELA DE PARVULOS LOS CONEJITOS;0;2201
268;ESC. BASICA RURAL SAN ANTONIO DE PADUA;0;2202
